Number,Sentence,Highest_Label,Positive_Score,Neutral_Score,Negative_Score
1,"Once upon a time there was a man and a wife had too many children, and they could not get meat for them, so they took the three youngest and left them in a wood.",Negative,0.01764109916985035,0.3641703128814697,0.6181885600090027
2,They travelled and travelled and could see never a house.,Neutral,0.10977587848901749,0.6569655537605286,0.23325856029987335
3,"It began to be dark, and they were hungry.",Neutral,0.03000454604625702,0.5090826153755188,0.4609127938747406
4,At last they saw a light and made for it; it turned out to be a house.,Neutral,0.3834829032421112,0.6031573414802551,0.01335971336811781
5,"They knocked at the door, and a woman came to it, who said: “What do you want?” They said: “Please let us in and give us something to eat.” The woman said: “I can't do that, as my man is a giant, and he would kill you if he comes home.” They begged hard.",Negative,0.022766854614019394,0.3279697895050049,0.6492634415626526
6,"“Let us stop for a little while,” said they, “and we will go away before he comes.” So she took them in, and set them down before the fire, and gave them milk and bread; but just as they had begun to eat a great knock came to the door, and a dreadful voice said:
“Fee, fie, fo, fum,
I smell the blood of some earthly one.",Negative,0.02761269547045231,0.4514605700969696,0.5209267735481262
7,"Who have you there wife?” “Eh,” said the wife, “it's three poor lassies cold and hungry, and they will go away.",Negative,0.021178776398301125,0.28151121735572815,0.6973099708557129
8,"Ye won't touch 'em, man.” He said nothing, but ate up a big supper, and ordered them to stay all night.",Neutral,0.06677486002445221,0.7429366111755371,0.1902885138988495
9,"Now he had three lassies of his own, and they were to sleep in the same bed with the three strangers.",Neutral,0.046019867062568665,0.8646283745765686,0.08935171365737915
10,"The youngest of the three strange lassies was called Molly Whuppie, and she was very clever.",Positive,0.832616925239563,0.15928292274475098,0.008100136183202267
11,"She noticed that before they went to bed the giant put straw ropes round her neck and her sisters', and round his own lassies' necks he put gold chains.",Neutral,0.05605624243617058,0.7910250425338745,0.1529187560081482
12,"So Molly took care and did not fall asleep, but waited till she was sure every one was sleeping sound.",Neutral,0.15859784185886383,0.8006106615066528,0.04079150781035423
13,"Then she slipped out of the bed, and took the straw ropes off her own and her sisters' necks, and took the gold chains off the giant's lassies.",Neutral,0.05622220039367676,0.8656335473060608,0.07814429700374603
14,"She then put the straw ropes on the giant's lassies and the gold on herself and her sisters, and lay down.",Neutral,0.050367504358291626,0.8926440477371216,0.056988440454006195
15,"And in the middle of the night up rose the giant, armed with a great club, and felt for the necks with the straw.",Neutral,0.19789135456085205,0.7678446173667908,0.03426402807235718
16,It was dark.,Neutral,0.059330470860004425,0.6479412317276001,0.29272836446762085
17,"He took his own lassies out of bed on to the floor, and battered them until they were dead, and then lay down again, thinking he had managed fine.",Neutral,0.061277616769075394,0.47763901948928833,0.4610833525657654
18,"Molly thought it time she and her sisters were out of that, so she wakened them and told them to be quiet, and they slipped out of the house.",Neutral,0.05023724585771561,0.8655638098716736,0.08419894427061081
19,"They all got out safe, and they ran and ran, and never stopped until morning, when they saw a grand house before them.",Positive,0.6380129456520081,0.3464202284812927,0.015566832385957241
20,"It turned out to be a king's house: so Molly went in, and told her story to the king.",Neutral,0.16487053036689758,0.8195485472679138,0.01558093074709177
21,"He said: “Well, Molly, you are a clever girl, and you have managed well; but, if you would manage better, and go back, and steal the giant's sword that hangs on the back of his bed, I would give your eldest sister my eldest son to marry.” Molly said she would try.",Neutral,0.3709016442298889,0.5472583770751953,0.08184008300304413
22,"So she went back, and managed to slip into the giant's house, and crept in below the bed.",Neutral,0.12139791250228882,0.8369650840759277,0.04163694754242897
23,"The giant came home, and ate up a great supper, and went to bed.",Positive,0.9056062698364258,0.090550497174263,0.0038432602304965258
24,"Molly waited until he was snoring, and she crept out, and reached over the giant and got down the sword; but just as she got it out over the bed it gave a rattle, and up jumped the giant, and Molly ran out at the door and the sword with her; and she ran, and he ran, till they came to the “Bridge of one hair”; and she got over, but he couldn't, and he says, “Woe worth ye, Molly Whuppie!",Neutral,0.10396753996610641,0.7589387893676758,0.1370936930179596
25,"never ye come again.” And she says “Twice yet, carle,” quoth she, “I'll come to Spain.” So Molly took the sword to the king, and her sister was married to his son.",Neutral,0.050419870764017105,0.8201712965965271,0.1294087916612625
26,"Well, the king he says: “Ye've managed well, Molly; but if ye would manage better, and steal the purse that lies below the giant's pillow, I would marry your second sister to my second son.” And Molly said she would try.",Neutral,0.25811901688575745,0.5948747396469116,0.14700624346733093
27,"So she set out for the giant's house, and slipped in, and hid again below the bed, and waited till the giant had eaten his supper, and was snoring sound asleep.",Neutral,0.07692587375640869,0.7635757923126221,0.15949830412864685
28,"She slipped out, and slipped her hand below the pillow, and got out the purse; but just as she was going out the giant wakened, and ran after her; and she ran, and he ran, till they came to the “Bridge of one hair,” and she got over, but he couldn't, and he said, “Woe worth ye, Molly Whuppie!",Neutral,0.09934225678443909,0.6913025975227356,0.2093551605939865
29,"never you come again.” “Once yet, carle,” quoth she, “I'll come to Spain.” So Molly took the purse to the king, and her second sister was married to the king's second son.",Neutral,0.06729229539632797,0.8184194564819336,0.11428826302289963
30,"After that the king says to Molly: “Molly, you are a clever girl, but if you would do better yet, and steal the giant's ring that he wears on his finger, I will give you my youngest son for yourself.” Molly said she would try.",Neutral,0.23685701191425323,0.6948655247688293,0.06827744096517563
31,"So back she goes to the giant's house, and hides herself below the bed.",Neutral,0.05519833043217659,0.7401316165924072,0.2046700268983841
32,"The giant wasn't long ere he came home, and, after he had eaten a great big supper, he went to his bed, and shortly was snoring loud.",Neutral,0.3582252562046051,0.5534487366676331,0.08832592517137527
33,"Molly crept out and reached over the bed, and got hold of the giant's hand, and she pulled and she pulled until she got off the ring; but just as she got it off the giant got up, and gripped her by the hand, and he says: “Now I have catcht you, Molly Whuppie, and, if I had done as much ill to you as ye have done to me, what would ye do to me?”
Molly says: “I would put you into a sack, and I'd put the cat inside with you, and the dog aside you, and a needle and thread and a shears, and I'd hang you up upon the wall, and I'd go to the wood, and choose the thickest stick I could get, and I would come home, and take you down, and bang you till you were dead.”
“Well, Molly,” says the giant, “I'll just do that to you.”
So he gets a sack, and puts Molly into it, and the cat and the dog beside her, and a needle and thread and shears, and hangs her up upon the wall, and goes to the wood to choose a stick.",Neutral,0.04366396740078926,0.6407755017280579,0.315560519695282
34,"Molly she sings out: “Oh, if ye saw what I see.”
“Oh,” says the giant's wife, “what do ye see, Molly?”
But Molly never said a word but, “Oh, if ye saw what I see!”
The giant's wife begged that Molly would take her up into the sack till she would see what Molly saw.",Neutral,0.08678705245256424,0.6476459503173828,0.26556694507598877
35,"So Molly took the shears and cut a hole in the sack, and took out the needle and thread with her, and jumped down and helped, the giant's wife up into the sack, and sewed up the hole.",Neutral,0.10576284676790237,0.8575279712677002,0.03670920431613922
36,"The giant's wife saw nothing, and began to ask to get down again; but Molly never minded, but hid herself at the back of the door.",Neutral,0.08010639250278473,0.7504238486289978,0.1694696694612503
